#
#
################################################################

HCDataSetFile_version
"1.0"

HCDataSetFile_fields
# unique id, probably the imagename with out the extension, but can be anything as long
#  as it's constant and unique 
"0"	"id"

# full image name and path from the articlesImagePath directory specified in the config.txt file
# probably just the name though, including the extension, the format can be GIF or JPEG
# using any of the standard file extensions
"1"	"imageName"

# This could be body, pants, hair, hats, tops, bottoms, shoes, extras or unknown
"2"	"category"

# This defines which layer the item sits on the order and number of these layers
# are defined in the config.txt file
"3"	"layer"

# co-ordinates that the gifs snap to on the person/alien
"4"	"snapPosX"
"5"	"snapPosY"

# an order number defining in which order the user has placed the articles
# set to -1 if the user is not wearing 
"6" "wearing"

"7" "waldrobe"

HCDataSetFile_data

"111" "skeletor.gif" "body" "body" "26" "28" "-1"
"15" "boy_jeans_01.gif" "bottoms" "bottoms" "39" "94" "0.05"
"50246" "boy_hair_44.gif" "hair" "hair" "24" "10" "-1"
"50245" "boy_hair_43.gif" "hair" "hair" "30" "12" "-1"
"50244" "boy_hair_42.gif" "hair" "hair" "24" "23" "-1"
"31" "boy_undies_01.gif" "pants" "underware" "40" "94" "0.01"
"32" "boy_undies_02.gif" "pants" "underware" "40" "94" "0.01"
"33" "boy_undies_03.gif" "pants" "underware" "40" "94" "0.01"
"34" "boy_undies_04.gif" "pants" "underware" "40" "70" "0.01"
"39" "boy_hair_01.gif" "hair" "hair" "31" "18" "-1"
"40" "boy_hair_02.gif" "hair" "hair" "33" "19" "-1"
"41" "boy_hair_03.gif" "hair" "hair" "31" "18" "-1"
"42" "boy_hair_04.gif" "hair" "hair" "34" "23" "-1"
"44" "boy_hair_06.gif" "hair" "hair" "31" "17" "-1"
"45" "boy_hair_07.gif" "hair" "hair" "31" "23" "-1"
"46" "boy_hair_08.gif" "hair" "hair" "32" "28" "-1"
"47" "boy_hair_09.gif" "hair" "hair" "34" "22" "-1"
"48" "boy_hair_10.gif" "hair" "hair" "31" "22" "-1"
"49" "boy_hat_01.gif" "hats" "hats" "31" "18" "-1"
"50" "boy_hat_02.gif" "hats" "hats" "30" "22" "-1"
