#
#
################################################################

HCDataSetFile_version
"1.0"

HCDataSetFile_fields
# unique id, probably the imagename with out the extension, but can be anything as long
#  as it's constant and unique 
"0"	"id"

# full image name and path from the articlesImagePath directory specified in the config.txt file
# probably just the name though, including the extension, the format can be GIF or JPEG
# using any of the standard file extensions
"1"	"imageName"

# This could be body, pants, hair, hats, tops, bottoms, shoes, extras or unknown
"2"	"category"

# This defines which layer the item sits on the order and number of these layers
# are defined in the config.txt file
"3"	"layer"

# co-ordinates that the gifs snap to on the person/alien
"4"	"snapPosX"
"5"	"snapPosY"

# an order number defining in which order the user has placed the articles
# set to -1 if the user is not wearing 
"6" "wearing"

"7" "waldrobe"

HCDataSetFile_data
"3" "girl_body_03.gif" "body" "body" "27" "28" "-1"
"6" "girl_skirt_01.gif" "bottoms" "bottoms" "36" "96" "-1"
"7" "girl_skirt_02.gif" "bottoms" "bottoms" "36" "94" "-1"
"8" "girl_skirt_03.gif" "bottoms" "bottoms" "33" "91" "-1"
"9" "girl_skirt_04.gif" "bottoms" "bottoms" "39" "96" "-1"
"10" "girl_skirt_05.gif" "bottoms" "bottoms" "39" "96" "-1"
"11" "girl_skirt_06.gif" "bottoms" "bottoms" "38" "98" "-1"
"12" "girl_skirt_07.gif" "bottoms" "bottoms" "38" "98" "-1"
"13" "girl_jeans_01.gif" "bottoms" "bottoms" "35" "98" "-1"
"14" "girl_jeans_02.gif" "bottoms" "bottoms" "36" "97" "-1"
"15" "girl_jeans_03.gif" "bottoms" "bottoms" "38" "98" "-1"
"16" "girl_jeans_04.gif" "bottoms" "bottoms" "36" "98" "-1"
"17" "girl_jeans_05.gif" "bottoms" "bottoms" "37" "98" "-1"
"18" "girl_trousers_06.gif" "bottoms" "bottoms" "39" "98" "-1"
"19" "girl_jeans_06.gif" "bottoms" "bottoms" "31" "97" "-1"
"20" "girl_trousers_03.gif" "bottoms" "bottoms" "31" "97" "-1"
"21" "girl_trousers_09.gif" "bottoms" "bottoms" "35" "98" "-1"
"22" "girl_hat_01.gif" "hats" "hats" "23" "18" "-1"
"23" "girl_jacket_01.gif" "tops" "jackets" "24" "66" "-1"
"24" "girl_jacket_02.gif" "tops" "jackets" "25" "66" "-1"
"25" "girl_jacket_03.gif" "tops" "jackets" "25" "67" "-1"
"26" "girl_jacket_04.gif" "tops" "jackets" "23" "64" "-1"
"27" "girl_coat_02.gif" "tops" "jackets" "23" "60" "-1"
"28" "girl_jacket_07.gif" "tops" "jackets" "25" "67" "-1"
"29" "girl_jacket_08.gif" "tops" "jackets" "23" "65" "-1"
"30" "girl_coat_03.gif" "tops" "jackets" "23" "64" "-1"
"37" "girl_belt_01.gif" "extras" "infront" "39" "98" "-1"
"38" "girl_belt_02.gif" "extras" "infront" "42" "97" "-1"
"39" "girl_belt_03.gif" "extras" "infront" "42" "97" "-1"
"40" "girl_necklace_01.gif" "extras" "infront" "40" "69" "-1"
"41" "girl_necklace_02.gif" "extras" "infront" "43" "66" "-1"
"42" "girl_hairclip_02.gif" "extras" "infront" "42" "18" "-1"
"43" "girl_earrings_01.gif" "extras" "infront" "29" "51" "-1"
"44" "girl_earrings_02.gif" "extras" "infront" "31" "52" "-1"
"45" "girl_earrings_03.gif" "extras" "infront" "29" "53" "-1"
"46" "girl_hairclip_01.gif" "extras" "infront" "35" "15" "-1"
"47" "girl_makeup_01.gif" "extras" "infront" "37" "44" "-1"
"48" "girl_makeup_02.gif" "extras" "infront" "36" "43" "-1"
"49" "girl_makeup_03.gif" "extras" "infront" "37" "42" "-1"
"50" "girl_makeup_04.gif" "extras" "infront" "37" "42" "-1"
"51" "girl_makeup_05.gif" "extras" "infront" "37" "46" "-1"
"52" "girl_makeup_06.gif" "extras" "infront" "37" "46" "-1"
"53" "girl_scarf_01.gif" "extras" "infront" "36" "63" "-1"
"54" "girl_scarf_02.gif" "extras" "infront" "36" "63" "-1"
"55" "girl_scarf_03.gif" "extras" "infront" "26" "66" "-1"
"56" "girl_scarf_04.gif" "extras" "infront" "25" "64" "-1"
"57" "girl_scarf_05.gif" "extras" "infront" "29" "69" "-1"
"58" "girl_scarf_06.gif" "extras" "infront" "37" "65" "-1"
"59" "girl_scarf_07.gif" "extras" "infront" "36" "64" "-1"
"60" "girl_earmuffs_01.gif" "extras" "infront" "25" "26" "-1"
"61" "girl_hair_01.gif" "hair" "hair" "19" "21" "-1"
"62" "girl_hair_02.gif" "hair" "hair" "19" "21" "-1"
"63" "girl_hair_03.gif" "hair" "hair" "24" "21" "-1"
"64" "girl_hair_04.gif" "hair" "hair" "28" "25" "-1"
"65" "girl_hair_05.gif" "hair" "hair" "28" "25" "-1"
"66" "girl_hair_06.gif" "hair" "hair" "29" "19" "-1"
"67" "girl_hair_07.gif" "hair" "hair" "24" "9" "-1"
"68" "girl_hair_08.gif" "hair" "hair" "25" "26" "-1"
"69" "girl_hair_09.gif" "hair" "hair" "27" "24" "-1"
"70" "girl_hair_10.gif" "hair" "hair" "29" "26" "-1"
"71" "girl_hair_11.gif" "hair" "hair" "28" "26" "-1"
"72" "girl_hair_12.gif" "hair" "hair" "28" "26" "-1"
"73" "girl_hair_13.gif" "hair" "hair" "30" "27" "-1"
"74" "girl_hair_14.gif" "hair" "hair" "30" "26" "-1"
"75" "girl_hair_15.gif" "hair" "hair" "30" "25" "-1"
"76" "girl_hair_16.gif" "hair" "hair" "30" "17" "-1"
"77" "girl_hair_17.gif" "hair" "hair" "20" "27" "-1"
"78" "girl_hair_18.gif" "hair" "hair" "30" "16" "-1"
"79" "girl_hair_19.gif" "hair" "hair" "27" "23" "-1"
"80" "girl_hair_20.gif" "hair" "hair" "30" "22" "-1"
"81" "girl_hair_21.gif" "hair" "hair" "24" "23" "-1"
"82" "girl_hair_22.gif" "hair" "hair" "23" "23" "-1"
"83" "girl_hair_23.gif" "hair" "hair" "23" "24" "-1"
"84" "girl_hair_24.gif" "hair" "hair" "27" "25" "-1"
"85" "girl_hair_25.gif" "hair" "hair" "27" "18" "-1"
"86" "girl_hair_26.gif" "hair" "hair" "27" "21" "-1"
"87" "girl_hair_27.gif" "hair" "hair" "28" "19" "-1"
"88" "girl_hair_28.gif" "hair" "hair" "18" "16" "-1"
"89" "girl_hair_29.gif" "hair" "hair" "22" "7" "-1"
"90" "girl_hair_30.gif" "hair" "hair" "20" "25" "-1"
"91" "girl_hair_31.gif" "hair" "hair" "31" "22" "-1"
"92" "girl_hair_32.gif" "hair" "hair" "29" "22" "-1"
"93" "girl_hair_33.gif" "hair" "hair" "27" "23" "-1"
"94" "girl_hair_34.gif" "hair" "hair" "30" "25" "-1"
"95" "girl_hair_35.gif" "hair" "hair" "19" "23" "-1"
"96" "girl_undies_22.gif" "pants" "underware" "39" "70" "-1"
"97" "girl_undies_23.gif" "pants" "underware" "40" "70" "-1"
"98" "girl_undies_24.gif" "pants" "underware" "39" "71" "-1"
"99" "girl_undies_15.gif" "pants" "underware" "39" "71" "-1"
"100" "girl_undies_14.gif" "pants" "underware" "39" "70" "-1"
"101" "girl_undies_13.gif" "pants" "underware" "39" "70" "-1"
"102" "girl_undies_12.gif" "pants" "underware" "39" "70" "-1"
"103" "girl_undies_11.gif" "pants" "underware" "40" "82" "-1"
"104" "girl_undies_09.gif" "pants" "underware" "40" "72" "-1"
